Comisión Nacional del Agua
Subdirección General Técnica
Estación: La Red
Clave: REDJL
Estado: Jalisco
Municipio: Acatic

Fecha, Elevación(msnm), Almacenamiento(hm³), Area(ha), Extracciones por Obra de Toma(m³/s), Extracciones por Vertedor(m³/s), Evaporación(mm), Precipitación(mm)
1994/01/01,1791.690,-,-,0.080,0.000,-,0.00
1994/01/02,1791.680,-,-,0.080,0.000,-,0.00
1994/01/03,1791.660,-,-,0.080,0.000,-,0.00
1994/01/04,1791.650,-,-,0.080,0.000,-,0.00
1994/01/05,1791.650,-,-,0.080,0.000,-,0.00
1994/01/06,1791.640,-,-,0.080,0.000,-,0.00
1994/01/07,1791.630,-,-,0.080,0.000,-,0.00
1994/01/08,1791.620,-,-,0.080,0.000,-,0.00
1994/01/09,1791.610,-,-,0.080,0.000,-,0.00
1994/01/10,1791.600,-,-,0.080,0.000,-,0.00
1994/01/11,1791.590,-,-,0.080,0.000,-,0.00
1994/01/12,1791.580,-,-,0.080,0.000,-,0.00
1994/01/13,1791.570,-,-,0.080,0.000,-,0.00
1994/01/14,1791.560,-,-,0.080,0.000,-,0.00
1994/01/15,1791.550,-,-,0.080,0.000,-,0.00
1994/01/16,1791.540,-,-,0.080,0.000,-,0.00
1994/01/17,1791.540,-,-,0.080,0.000,-,0.00
1994/01/18,1791.530,-,-,0.080,0.000,-,0.00
1994/01/19,1791.520,-,-,0.080,0.000,-,0.00
1994/01/20,1791.510,-,-,0.080,0.000,-,0.00
1994/01/21,1791.500,-,-,0.080,0.000,-,0.00
1994/01/22,1791.500,-,-,0.080,0.000,-,0.00
1994/01/23,1791.490,-,-,0.080,0.000,-,0.00
1994/01/24,1791.480,-,-,0.080,0.000,-,0.00
1994/01/25,1791.470,-,-,0.080,0.000,-,0.00
1994/01/26,1791.460,-,-,0.080,0.000,-,0.00
1994/01/27,1791.460,-,-,0.080,0.000,-,0.00
1994/01/28,1791.450,-,-,0.080,0.000,-,0.00
1994/01/29,1791.440,-,-,0.080,0.000,-,0.00
1994/01/30,1791.430,-,-,0.080,0.000,-,0.00
1994/01/31,1791.430,-,-,0.080,0.000,-,0.00
1994/02/01,1791.420,-,-,0.080,0.000,-,0.00
1994/02/02,1791.410,-,-,0.080,0.000,-,0.00
1994/02/03,1791.410,-,-,0.060,0.000,-,0.00
1994/02/04,1791.400,-,-,0.050,0.000,-,0.00
1994/02/05,1791.390,-,-,0.040,0.000,-,0.00
1994/02/06,1791.390,-,-,0.040,0.000,-,0.00
1994/02/07,1791.380,-,-,0.040,0.000,-,0.00
1994/02/08,1791.370,-,-,0.040,0.000,-,0.00
1994/02/09,1791.370,-,-,0.040,0.000,-,0.00
1994/02/10,1791.350,-,-,0.040,0.000,-,0.00
1994/02/11,1791.350,-,-,0.040,0.000,-,0.00
1994/02/12,1791.350,-,-,0.040,0.000,-,0.00
1994/02/13,1791.340,-,-,0.040,0.000,-,0.00
1994/02/14,1791.340,-,-,0.040,0.000,-,0.00
1994/02/15,1791.330,-,-,0.040,0.000,-,0.00
1994/02/16,1791.320,-,-,0.040,0.000,-,0.00
1994/02/17,1791.320,-,-,0.060,0.000,-,0.00
